Offence,Defence,Week,Score,Total drives,Passing Yards,Turnovers,Rushing,Sacks,Punts,3rd dwns Conv,3rd downs Att,4th downs Conv,4th downs Att
Packers,Lions,4,20,12,246,2,27,5,5,3,11,1,1
Panthers,Lions,5,24,10,247,3,99,1,3,5,10,1,1
Buccs,Lions,6,6,10,206,1,46,1,6,2,12,1,2
Ravens,Lions,7,38,10,357,1,146,0,2,4,8,1,1
Raiders,Lions,8,14,11,126,1,80,6,5,1,9,0,3
Chargers,Lions,10,38,9,323,1,98,0,2,7,14,3,3
Bears,Lions,11,26,11,169,1,183,2,2,5,13,2,2
Packers,Lions,12,29,11,268,0,109,0,4,5,11,0,1
Saints,Lions,13,28,12,267,2,113,2,4,6,12,0,1
Bears,Packers,1,20,12,216,2,122,4,4,3,13,1,2
Falcons,Packers,2,25,10,237,1,211,1,1,6,15,3,4
Saints,Packers,3,17,10,204,0,77,4,7,4,14,1,1
Lions,Packers,4,34,12,210,1,211,2,4,7,17,2,2
Raiders,Packers,5,17,11,208,1,96,4,4,5,13,1,1
Broncos,Packers,7,19,9,194,0,145,1,3,5,12,0,1
Vikings,Packers,8,24,10,297,1,62,3,2,10,18,1,1
Rams,Packers,9,3,11,130,2,68,1,5,5,14,0,2
Steelers,Packers,10,23,10,126,0,205,1,5,4,13,1,1
Chargers,Packers,11,20,11,260,1,150,2,3,7,14,0,2
Lions,Packers,12,22,11,332,3,140,3,2,7,15,1,5
Chiefs,Packers,13,19,8,210,1,148,3,1,7,11,0,1
Buccs,Vikings,1,20,12,173,0,73,1,6,6,17,1,1
Eagles,Vikings,2,34,12,193,1,259,4,4,6,14,1,1
Chargers,Vikings,3,28,11,454,1,30,1,3,5,11,1,2
Panthers,Vikings,4,13,9,204,1,83,5,5,5,14,2,3
Chiefs,Vikings,5,27,8,281,0,67,2,3,9,15,0,0
Bears,Vikings,6,13,12,141,3,162,5,4,6,14,0,1
49ers,Vikings,7,17,9,272,3,65,1,1,5,9,1,1
Packers,Vikings,8,10,10,229,1,74,4,4,5,14,1,4
Falcons,Vikings,9,28,13,268,2,110,1,4,10,18,0,0
Saints,Vikings,10,19,13,232,2,65,3,6,4,14,2,2
Broncos,Vikings,11,21,11,259,0,46,2,4,2,12,1,1
Bears,Vikings,12,12,10,217,2,118,3,3,8,18,1,1
Panthers,Falcons,1,10,12,146,3,154,2,5,5,14,0,2
Packers,Falcons,2,24,10,151,0,84,1,4,3,9,0,1
Lions,Falcons,3,20,12,243,1,115,0,6,4,14,0,0
Jaguars,Falcons,4,23,10,226,0,105,4,5,6,12,0,1
Texans,Falcons,5,19,11,249,0,64,0,6,4,13,0,0
Commanders,Falcons,6,24,12,151,0,72,5,6,2,10,1,1
Buccs,Falcons,7,13,10,275,2,73,3,3,6,12,0,1
Titans,Falcons,8,28,14,238,1,149,2,8,5,15,1,1
