Team,Week,3rd downs Att,3rd dwns Conv,4th downs Att,4th downs Conv,Passing Yards,Punts,Rushing,Sacks,Total drives,Turnovers
browns,15,15.384615384615385,4.846153846153846,1.7692307692307692,0.9230769230769231,214.07692307692307,5.230769230769231,131.0,2.769230769230769,13.0,2.076923076923077
broncos,15,12.692307692307692,4.6923076923076925,0.9230769230769231,0.5384615384615384,200.69230769230768,4.384615384615385,115.0,2.923076923076923,11.0,1.3846153846153846
buccs,15,14.0,5.615384615384615,1.0769230769230769,0.6923076923076923,225.69230769230768,4.846153846153846,90.0,2.1538461538461537,10.846153846153847,1.0
panthers,15,15.076923076923077,5.461538461538462,2.769230769230769,1.3076923076923077,196.92307692307693,4.769230769230769,104.3076923076923,3.923076923076923,10.846153846153847,1.3076923076923077
falcons,15,13.461538461538462,5.461538461538462,1.1538461538461537,0.5384615384615384,222.76923076923077,4.538461538461538,132.15384615384616,2.769230769230769,11.615384615384615,1.4615384615384615
giants,15,14.083333333333334,4.666666666666667,2.0,0.9166666666666666,194.66666666666666,5.25,107.58333333333333,5.416666666666667,11.583333333333334,1.3333333333333333
packers,15,13.307692307692308,5.769230769230769,1.6153846153846154,0.9230769230769231,238.30769230769232,3.8461538461538463,106.3076923076923,2.0,10.615384615384615,1.1538461538461537
49ers,15,10.692307692307692,5.076923076923077,0.6153846153846154,0.38461538461538464,273.84615384615387,3.3076923076923075,139.6153846153846,2.0,10.846153846153847,0.9230769230769231
commanders,15,12.833333333333334,4.833333333333333,1.3333333333333333,0.5833333333333334,266.5833333333333,4.333333333333333,90.25,4.416666666666667,11.833333333333334,2.0
cardinals,15,13.076923076923077,4.923076923076923,1.9230769230769231,0.6153846153846154,191.92307692307693,4.076923076923077,123.92307692307692,2.6923076923076925,10.846153846153847,1.1538461538461537
eagles,15,13.545454545454545,6.7272727272727275,1.7272727272727273,1.1818181818181819,247.0,2.8181818181818183,120.81818181818181,2.5454545454545454,10.363636363636363,1.5454545454545454
