Week,Offence,Defence,Score,Total drives,Passing Yards,Turnovers,Rushing,Sacks,Punts,3rd dwns Conv,3rd downs Att,4th downs Conv,4th downs Att,Line,Vegas_Expected_Score,Total_Points_Vegas
11,panthers,cowboys,10,10,123,2,110,7,5,5,15,3,3,-10.5,16.5,43.5
12,commanders,cowboys,10,11,300,1,108,4,3,7,15,0,3,-13.5,17.5,48.5
13,seahawks,cowboys,35,10,334,1,72,1,0,9,14,0,3,-9.5,19.0,47.5
14,eagles,cowboys,13,9,225,3,106,1,1,4,9,1,2,-3.5,24.5,52.5
15,bills,cowboys,31,9,94,0,266,1,2,5,9,0,0,2.5,26.0,49.5
16,dolphins,cowboys,22,10,222,0,77,1,2,6,13,0,1,1.5,25.5,49.5
17,lions,cowboys,19,11,302,2,125,1,4,4,13,2,3,-4.5,24.0,52.5
18,commanders,cowboys,10,10,157,3,50,4,2,2,10,3,4,-13.5,16.5,46.5
Wildcard,packers,cowboys,48,10,272,0,143,0,3,6,10,1,1,-7.5,22.5,52.5
1,patriots,eagles,20,13,316,2,76,2,5,5,15,1,4,-3.5,20.0,43.5
2,vikings,eagles,28,11,364,4,28,2,3,6,10,1,1,-6.5,21.0,48.5
3,buccs,eagles,11,9,146,2,41,2,4,5,10,0,0,-4.5,19.5,43.5
5,rams,eagles,14,8,222,0,54,4,4,6,14,2,3,-3.5,23.0,49.5
6,jets,eagles,20,11,186,0,89,5,4,2,11,0,1,-5.5,18.0,41.5
7,dolphins,eagles,17,8,216,1,45,4,3,4,11,0,2,-3.5,24.0,51.5
8,commanders,eagles,31,11,397,1,84,1,2,7,12,0,3,-7.5,17.5,42.5
9,cowboys,eagles,23,10,374,1,73,5,2,6,15,3,5,-3.5,21.5,46.5
11,chiefs,eagles,17,12,177,2,168,1,6,8,17,2,3,2.5,24.0,45.5
12,bills,eagles,34,14,339,1,173,1,4,13,22,1,1,-2.5,23.0,48.5
14,cowboys,eagles,33,9,271,1,138,3,1,9,16,1,1,-3.5,24.5,52.5
13,49ers,eagles,42,9,314,0,146,2,2,8,11,1,1,3.5,25.5,47.5
15,seahawks,eagles,20,10,208,0,100,2,5,6,14,0,0,-4.5,21.5,47.5
16,giants,eagles,25,10,188,1,106,1,4,4,14,3,5,-13.5,14.0,41.5
17,cardinals,eagles,35,8,232,1,221,1,0,5,10,2,2,-12.5,17.5,47.5
18,giants,eagles,27,12,311,1,109,2,5,6,14,0,0,-4.5,19.5,43.5
Wildcard,buccs,eagles,32,10,337,0,119,4,3,6,14,1,2,-3.5,20.0,43.5
1,seahawks,rams,13,9,112,0,85,2,4,2,9,0,0,5.5,25.0,44.5
2,49ers,rams,30,10,206,0,159,1,4,2,9,0,0,7.5,26.0,44.5
3,bengals,rams,19,13,259,1,67,2,5,5,17,1,1,2.5,24.0,45.5
5,eagles,rams,23,8,303,1,159,1,1,13,18,0,1,3.5,26.5,49.5
6,cardinals,rams,9,12,235,2,130,2,3,6,16,2,4,-7.5,20.0,47.5
7,steelers,rams,24,11,230,0,86,2,5,4,12,1,1,-3.5,20.0,43.5
8,cowboys,rams,43,11,307,1,102,3,2,6,12,1,1,7.5,26.0,44.5
9,packers,rams,20,12,228,2,184,4,4,7,14,1,1,3.5,21.0,38.5
11,seahawks,rams,16,11,236,1,68,2,4,5,15,2,2,-2.5,21.0,44.5
12,cardinals,rams,14,11,256,0,73,4,5,6,17,2,3,-3.5,21.0,45.5
13,browns,rams,19,12,254,1,87,2,5,7,16,0,2,-3.5,18.0,39.5
15,commanders,rams,20,12,226,1,79,1,5,3,14,3,5,-6.5,21.0,48.5
16,saints,rams,22,10,319,1,35,2,2,5,11,0,3,-4.5,21.0,46.5
17,giants,rams,25,13,319,1,105,6,5,5,16,1,3,-6.5,18.0,42.5
18,49ers,rams,20,8,189,1,125,3,3,5,10,1,1,5.5,23.0,40.5
Wildcard,lions,rams,24,8,277,0,79,3,3,3,9,1,1,3.5,28.5,53.5
1,steelers,49ers,7,11,232,2,41,5,6,5,15,1,3,-1.5,19.5,40.5
2,rams,49ers,23,10,307,2,89,1,2,7,14,1,2,-7.5,18.5,44.5
3,ginats,49ers,12,10,137,1,29,2,6,3,12,0,0,-10.5,16.5,43.5
4,cardinals,49ers,16,7,265,0,105,1,3,8,15,2,3,-13.5,15.0,43.5
5,cowboys,49ers,10,13,161,4,57,4,5,4,11,0,1,-3.5,20.5,44.5
6,browns,49ers,19,13,192,2,160,2,4,3,13,1,1,-9.5,13.0,35.5
7,vikings,49ers,22,9,378,1,74,0,1,8,13,0,0,-6.5,19.0,44.5
8,bengals,49ers,31,10,283,1,134,3,3,3,8,0,0,-4.5,19.5,43.5
10,jaguars,49ers,3,10,171,4,59,2,3,4,12,1,2,-3.5,20.5,44.5
11,buccs,49ers,14,10,246,2,66,4,3,7,14,1,3,-13.5,14.5,42.5
12,seahawks,49ers,13,10,180,2,88,6,5,3,11,0,1,-7.5,18.0,43.5
13,eagles,49ers,19,9,314,0,46,3,3,8,15,1,2,-3.5,22.0,47.5
14,seahawks,49ers,16,12,269,2,70,4,6,2,11,0,1,-14.5,15.0,44.5
15,cardinals,49ers,29,10,211,2,234,3,2,7,16,3,4,-13.5,17.5,48.5
16,ravens,49ers,33,12,252,0,102,2,3,4,11,1,1,-6.5,20.5,47.5
17,commanders,49ers,10,9,169,2,62,1,3,3,9,0,1,-14.5,17.5,49.5
18,rams,49ers,21,9,163,1,109,2,2,9,15,3,4,-5.5,17.5,40.5
Divisional,packers,49ers,21,10,194,2,136,0,1,7,13,0,1,-10.5,20.0,50.5
Conference,lions,49ers,31,10,273,1,182,2,2,6,12,1,3,-7.5,23.0,53.5
Superbowl,chiefs,49ers,25,13,317,2,130,3,5,9,19,1,1,-1.5,22.5,46.5
1,commanders,cardinals,20,13,202,3,92,6,6,4,12,0,0,6.5,22.0,37.5
2,ginats,cardinals,31,10,321,1,127,3,3,7,12,1,1,4.5,22.0,39.5
3,cowboys,cardinals,16,8,249,1,185,2,2,9,16,0,1,11.5,28.0,44.5
4,49ers,cardinals,35,8,283,0,124,1,1,3,5,1,1,13.5,28.5,43.5
5,bengals,cardinals,34,12,317,1,93,3,3,5,14,0,3,3.5,24.5,45.5
6,rams,cardinals,26,10,226,1,179,3,4,4,12,0,0,7.5,27.5,47.5
7,seahawks,cardinals,20,10,219,3,115,2,3,7,13,0,0,9.5,26.5,43.5
8,ravens,cardinals,31,12,157,0,130,4,5,4,11,0,0,10.5,27.0,43.5
9,browns,cardinals,27,14,219,0,113,1,7,6,17,1,2,13.5,26.0,38.5
10,falcons,cardinals,23,10,94,0,184,3,4,7,14,1,2,2.5,23.0,43.5
11,texans,cardinals,21,11,338,3,111,4,2,9,13,0,1,5.5,27.0,48.5
12,rams,cardinals,37,10,229,1,228,0,2,6,12,2,2,3.5,24.5,45.5
13,steelers,cardinals,10,10,187,1,130,0,4,4,11,0,1,6.5,23.5,40.5
15,49ers,cardinals,45,10,262,0,144,0,2,4,7,0,0,13.5,31.0,48.5
16,bears,cardinals,27,11,170,1,250,1,5,8,15,0,0,5.5,24.0,42.5
17,eagles,cardinals,31,7,184,1,91,0,2,4,9,1,1,12.5,30.0,47.5
18,seahawks,cardinals,21,9,189,0,138,0,5,6,12,0,0,2.5,25.5,48.5
1,jaguars,colts,31,15,245,2,105,4,5,2,12,1,5,3.5,24.0,44.5
2,texans,colts,20,11,384,1,52,6,3,9,19,2,2,2.5,21.0,39.5
5,titans,colts,16,8,264,1,89,1,1,5,12,1,2,2.5,23.0,43.5
6,jaguars,colts,37,14,167,1,85,3,3,6,17,3,6,3.5,23.5,43.5
7,browns,colts,39,16,183,2,150,2,5,4,16,1,2,3.5,22.0,40.5
8,saints,colts,38,12,354,1,161,1,4,6,12,0,0,2.5,23.0,43.5
